Municipality,2009,2010,2011,2012,2013,2014,2015,2016
Naledi,0.0034385342510850785,0.0030293596784260195,0.0017230832141295518,0.0013645934798878565,0.0015222792384715059,0.006028055979557374,0.004082967586790702,0.0026070125152679413
Richtersveld,0.0009267846815656556,0.0001994035289669528,0.00026438375351588725,0.0002948115724916478,0.0003654808198241195,0.00015110949982357282,0.00014448297016858474,0.0003796697926118871
Thulamela,0.010568646821073321,0.00447240484312198,0.010112730438611259,0.0073641712188243285,0.007119866884358012,0.021937954709323356,0.021000776444018265,0.010265513172410687
Metsimaholo,0.0008864342908784891,0.007138209628899719,0.01314047555681979,0.010777098367111522,0.006272462770045995,0.021623884630288432,0.023653592793460854,0.020131173850903076
Mangaung,0.0020684469558233964,0.0005133553390575014,0.000509317788892714,0.0006914849376529388,0.0008313996920482942,0.013126885756426667,0.013999985604375903,0.008947543378629907
Cederberg,0,0.009531509260729161,0.025650491217624295,0.01876521827148553,0.008750441661030608,0.015260101499823585,0.012048083821324383,0.03136290707726089
Masilonyana,0.0005929663320500972,0.0007927192181167059,0.0002829108598763697,0.0007499633271437528,0.0004352325590027074,6.785791674084187e-05,0.00017104923738889605,0.0008985652881070402
Witzenberg,0.0027017122970400993,0.0022498406191051746,0.0016785715935186529,0.002422552826548,0.00171639417712837,0.01612480427344019,0.019870247133385612,0.01606909309759663
Ba-Phalaborwa,0,0.002415129499517905,0.0020510855237744923,0.0018183828255063758,0.0030137758004765603,0.00856577359445294,0.025560428991082965,0.006550048156711851
Mamusa,0.0006835194123222015,7.371267182344256e-05,9.707890050656232e-05,0,8.977965051158119e-05,0.00032733059990776043,0.0017624802447986033,0.0038580543253902326
Kannaland,0.007637894605709982,0.032221498792495404,0.022330924707380635,0.010292426204660053,0.005928402875873374,0.021707344864141394,0.004760393601864052,0.03128999709775827
Theewaterskloof,0.022220100057466215,0.012664350223132078,0.011819793803456397,0.008783256893166117,0.01311588150965358,0.061726067360209795,0.05132226430077631,0.057410586376464026
Jozini,0.006512504653089351,0.002396829499650975,0.0009346958174397726,0.0012373984286323015,0.0015836089007812114,0.008636965876731401,0.008613591805242583,0.005629111600122372
City of Matlosana,0.005050695470426161,0.004901281286406378,0.005908890322545602,0.004884240006930976,0.008385443935988246,0.005217212943679298,0.00285852573261524,0.005992305153243128
Ngquza Hill,4.7018070413515496e-05,0,0.0015447272850401535,0.0009333868238654354,0.0011712315564937005,0.004249525712360625,0.005392319798246805,0.003598029859188949
Maluti a Phofung,0.0008544684025422673,0.0003493465087137603,0.00041224250763980557,0.0025227907147631476,0.0007426474836722771,0.0008090308142402188,0.0005048260879958164,0.028172938363217114
Kareeberg,0.0002592979503782001,0.0005195753653964052,0.0003878416727351626,0.0004365621802197822,0.00019243609181592608,0.00011805361823553266,0.00012078348994021444,0.00025569236939713193
Bitou,0.02323192814480708,0.0184577183300627,0.017250384679914736,0.016656212607536053,0.012262854742194886,0.05951716703330221,0.04127174533349066,0.044902825461948966
City of Johannesburg,0.019764860227828623,0.009867329051190697,0.012120641482309976,0.012714653382758569,0.009123059257624867,0.029370132941912454,0.01490272840543852,0.009041517931751817
Amahlathi,0.0018377497872530792,0.0018377497872530792,0.0006699708722105089,0.001174926683422631,0.0005477214263493857,0.0014362405206476375,0.001290233920104228,0.0009895585040715228
Lekwa-Teemane,0.00038950608954034505,0.05530567866710091,0.017192015881863493,0.024132646288021833,0.005384191491295741,0.12528454891297666,0.12182046270671255,0.06742161722950386
Mnquma,0.006578132530890591,0,0.005004229893589257,0.010717371954471477,0.005238775866090457,0.024164181447182544,0.024524162888631473,0.022914806303085598
Umzumbe,0,0,0,0,0.0,0.0,0.0,0.0
Nala,0.0002649129665608473,0.0003568847300395716,0.00017079067547571294,0.0001058222827489795,0.00013831858505304078,0.0001935957189049347,0.00039646015966376746,0.0005190264429345703
Nketoana,0.0007352112534159658,0.000924021004208949,0.0012146317714369953,0.0007997640849082802,0.00042087903764952974,0.0005963066210196145,0.0006873227214980238,0.0006741302220319924
Richmond,0.0006865473207487343,0.00293045915909594,0.0014320994393530585,4.826208574105298e-05,0.005324199753976895,0.001620472343028631,0.0017369576840421312,0.0028904497704306596
Endumeni,0.008985033217166496,0.0069537836907704815,0.006648761105977428,0.0015488400866277288,0.002193143922471678,0.0048669203946590375,0.015007211935018428,0.009640505110330582
Tsantsabane,0.002446531316958241,0.002020338672914399,0.000878197527986647,0.00024739286224416456,0.0008877170063344128,0.00040018041676809175,0.0004983299953893745,0.0011391375016948024
Maphumulo,0,0,0,0,0.0,0.0,0.0,0.0
Swellendam,0.0364767995020855,0.016322811214051478,0.010266471232040508,0.008951707488471326,0.007385203789722403,0.06799055823619862,0.08369174959259278,0.11112470352097092
Sundays River Valley,0.006701426044770919,0.006666589416430773,0.012530425848012316,0.013324627327462394,0.0147558489737417,0.013940412684289307,0.014928686992008935,0.015376364959443571
