municipality,2009,2010,2011,2012,2013,2014,2015,2016
Blue Crane Route,0.33411984521066157,0.2642261908777484,0.2785993311431428,0.27911146820142196,0.2362962593227877,0.2406584825039595,0.2624100472037195,0.3125708897811466
Setsoto,0.2817995855763123,0.2545883497934271,0.19731797943652649,0.18568660853209307,0.21744479367000835,0.2001888841466499,0.2639769315429343,0.2658903870257522
Ramotshere Moiloa,0.39001113150492656,0.3687601445540642,0.3404612747259675,0.21383931482541835,0.2963313333616123,0.34241021907837943,0.20106931240113482,0.2057268298629226
Mohokare,0.3607615929763489,0.18966750714104982,0.20818922852332677,0.20015598872198742,0.18922711759144373,0.216323580135917,0.20888672654516793,0.16362968216868945
Moqhaka,0.377047434497271,0.3259194267081422,0.3179246348817272,0.3048198693543323,0.26100616241120433,0.2524015112703399,0.2632297316962659,0.29121275382310363
Overstrand,0.2414369993935954,0.25201817823296224,0.22666817053920738,0.24645705933167378,0.24314211771085234,0.26384039373251345,0.251649027193735,0.22710151261399109
Chief Albert Luthuli,0.1811385234848066,0.2031666770712039,0.22469153829328115,0.1771607118355595,0.22124327571617963,0.21746194193444512,0.26026260399848433,0.28037767856776363
Govan Mbeki,0.3012435099984599,0.28918452208324424,0.30468966507321393,0.15707694384336585,0.19821364473017433,0.214357597021632,0.23512628089026122,0.2383159075423971
Letsemeng,0.1722665893227962,0.1298516343592815,0.21833310729440852,0.20578658512303596,0.16286150779984906,0.1902260271973874,0.20082354499545949,0.19299514212199304
Stellenbosch,0.24425463634693384,0.19210372148996538,0.20173489310610498,0.20214335546044027,0.1738031543619637,0.18319059976896504,0.20370787476212282,0.2029826127690023
Dr Pixley Ka Isaka Seme,0.37240397877563813,0.39436787114923305,0.25226296649866514,0.2571681368534848,0.24341888579502488,0.23921013580329384,0.27029829905928915,0.22896810714292307
Mandeni,0.25554391437138807,0.164320142699406,0.15409904739593647,0.16158533419795532,0.17603697816315952,0.23090346160005437,0.26493954529279595,0.23297026453809977
Mantsopa,0.27056995165800685,0.28404123765566824,0.21817691818221843,0.21626421163257822,0.18286667568093223,0.21473773975665092,0.22675047351062091,0.22436545311560346
Steve Tshwete,0.21187870886743407,0.24485754835081186,0.25753313914525017,0.23296027736472324,0.24396257755332904,0.2196465368397375,0.22540085023090026,0.2313526053696662
Siyathemba,0.42377418751315077,0.23713225048619918,0.3774947746909569,0.35351205506900946,0.3781505671259535,0.300147561154625,0.324019207155947,0.405022554552758
Nongoma,0.32920116176713,0.23202710386809214,0.2511267172544122,0.23143182534636875,0.26617031019682225,0.3092206658382402,0.3063391605307186,0.334325739917868
uMngeni,0.2089190707734905,0.23526880162751243,0.2719726917443306,0.26514609343825823,0.2255631077532512,0.1789880233907094,0.20752769964369633,0.22054753840382965
Mogalakwena,0.1764038731267313,0.16776715832205447,0.19188447590005808,0.16789603166099357,0.14286406664348206,0.16843668771156586,0.16435183876913328,0.14118565909162695
Ekurhuleni,0.2365690195807518,0.22489051349175004,0.17971771642356507,0.17771513370244182,0.20490719535858648,0.19710440150338565,0.16426421370174626,0.16929027468292118
Nelson Mandela Bay,0.24084678471173326,0.26438642821640607,0.3019471306583812,0.277410333453171,0.2167803131048809,0.20650793665751618,0.24251983921620743,0.24654182228543098
Makana,0.5902899330837355,0.30741812221480663,0.2449711381639616,0.3547496339552049,0.31796147664682206,0.269607540645982,0.31616802389320253,0.2696803058861858
uPhongolo,0.10039146380914603,0.2277671913655465,0.25622016918491625,0.20084574179778775,0.2172301238859397,0.19103960009887433,0.1983706133218286,0.23749163908260065
Thabazimbi,0.13408601183566893,0.31336803140583597,0.21558812265476662,0.26052354180424575,0.23882888019565618,0.40841519516141106,0.26659184519154194,0.3014395059758622
Bergrivier,0.35918872197956103,0.29065139083796687,0.31080342447246795,0.34773924996221084,0.36900270835074206,0.33643055647043213,0.32763510295765125,0.3446041064998775
Matzikama,0.22577112121764142,0.28736223268768374,0.32142139028851446,0.28231324502164606,0.2900607614055514,0.32661338831930053,0.3135790610282104,0.34690630967421754
Dr Beyers Naude,0.34509363298012447,0.23770660384280742,0.2766083087207821,0.19687516118297813,0.2278028664300008,0.22185520866657005,0.21908583389686792,0.26500504533332236
Senqu,0.2255989154363218,0.15762859120223185,0.23775341532445315,0.18649301119203968,0.23348741936237477,0.24945490624682254,0.2582625266155363,0.1806856601130028
